A Little Chat|Conversinha
Naya Sojourners|Visitantes de Naya
Nazahn, Revered Bladesmith|Nazahn, Cuteleiro Reverenciado
Nazgûl|Nazgûl
Near-Death Experience|Experiência de Quase-Morte
Nearheath Chaplain|Capelão de Mata Vizinha
Nearheath Pilgrim|Peregrino de Mata Vizinha
Nearheath Stalker|Caçador de Mata Vizinha
Nebelgast Beguiler|Ludibriadora do Nebelgast
Nebelgast Herald|Arauto do Nebelgast
Nebelgast Intruder|Intruso do Nebelgast
Neck Breaker|Quebrador de Pescoços
Neck Snap|Quebra-Pescoço
Necra Disciple|Discípulo de Necra
Necra Sanctuary|Santuário de Necra
Necratog|Necratogue
Necravolver|Evolutor de Necra
Necrite|Necrite
Necrobite|Mordida Necrotizante
Necroblossom Snarl|Liame da Necroflorescência
Necroduality|Necrodualidade
Necrogen Censer|Defumador de Necrogênio
Necrogen Communion|Comunhão Necrogênica
Necrogen Mists|Névoas de Necrogênio
Necrogen Rotpriest|Putridotisa de Necrogênio
Necrogen Scudder|Flutuador de Necrogênio
Necrogen Spellbomb|Magibomba de Necrogênio
Necrogenesis|Necrogênese
Necrogoyf|Necrogoyf
Necrologia|Necrologia
Necromancer's Assistant|Assistente do Necromante
Necromancer's Covenant|Pacto dos Necromantes
Necromancer's Familiar|Familiar da Necromante
Necromancer's Magemark|Sinal Mágico do Necromante
Necromancer's Stockpile|Estoque do Necromante
Necromancy|Necromancia
Necromantic Selection|Seleção Necromântica
Necromantic Summons|Invocações Necromânticas
Necromantic Thirst|Sede Necromântica
Necromaster Dragon|Dragoa Necromestra
Necromentia|Necromência
Necron Deathmark|Necroatirador Necron
Necron Monolith|Monólito Necron
Necron Overlord|Soberano Necron
Necropanther|Necropantera
Necropede|Necropéia
Necroplasm|Necroplasma
Necropolis Fiend|Demônio da Necrópole
Necropolis Regent|Regente da Necrópole
Necropotence|Necropotência
Necropouncer|Necrogarras
Necrosavant|Necrossábio
Necroskitter|Necrotrotador
Necrosquito|Necrosquito
Necrosynthesis|Necrossíntese
Necrotic Fumes|Vapores Necróticos
Necrotic Hex|Bruxaria Necrótica
Necrotic Ooze|Lodo Necrótico
Necrotic Plague|Praga Necrótica
Necrotic Sliver|Fractius Necrótico
Necrotic Wound|Ferida Necrótica
Nectar Faerie|Fada Nectárea
Need for Speed|Necessidade de Velocidade
Needle Drop|Queda de Agulha
Needle Specter|Espectro Agulha
Needle Spires|Picos das Agulhas
Needle Storm|Tempestade de Acúleos
Needlebite Trap|Armadilha de Picada de Agulha
Needlebug|Agulheto
Needlepeak Spider|Aranha dos Picos
Needleshot Gourna|Gourna Atira-Agulhas
Needlethorn Drake|Dragonete Espinagulho
Needletooth Raptor|Raptor Aguilhodonte
Needleverge Pathway|Trilha da Orla das Agulhas
Neera, Wild Mage|Neera, Maga Selvagem
Nef-Crop Entangler|Emaranhador da Safra Nef
Nefarious Imp|Diabrete Nefasto
Nefarious Lich|Cadáver Nefário
Nefarox, Overlord of Grixis|Nefarox, Soberano de Grixis
Nefashu|Nefashu
Negate|Negar
Neglected Heirloom|Herança Negligenciada
Neheb, Dreadhorde Champion|Neheb, Capitão da Horda Medonha
Neheb, the Eternal|Neheb, o Eterno
Neheb, the Worthy|Neheb, o Digno
Neko-Te|Neko-Te
Nekrataal|Nekrataal
Nekusar, the Mindrazer|Nekusar, o Arrasador de Mentes
Nema Siltlurker|Nema Espreitador da Lama
Nemata, Grove Guardian|Nemata, A Guardiã do Bosque
Nemata, Primeval Warden|Nemata, Guardiã Primordial
Nemesis Mask|Máscara da Nêmese
Nemesis Phoenix|Fênix Nêmesis
Nemesis Trap|Armadilha de Nêmesis
Nemesis of Mortals|Nêmesis dos Mortais
Nemesis of Reason|Nêmesis da Razão
Neoform|Neoformar
Neonate's Rush|Arrebatamento da Neófita
Nephalia Academy|Academia de Nefália
Nephalia Drownyard|Brejo de Nefália
Nephalia Moondrakes|Dragonetes Lunares de Nefália
Nephalia Seakite|Gavião Marinho de Nefália
Nephalia Smuggler|Contrabandista de Nefália
Nessian Asp|Áspide Nessiana
Nessian Boar|Javali Nessiano
Nessian Courser|Centauro-Caçador Nessiano
Nessian Demolok|Demolok Nessiano
Nessian Game Warden|Protetor da Fauna Nessiana
Nessian Hornbeetle|Serra-pau Nessiano
Nessian Wanderer|Errante Nessiano
Nessian Wilds Ravager|Devastador das Selvas Nessianas
Nest Invader|Invasor de Ninho
Nest Robber|Ladrão de Ninhos
Nest of Scarabs|Ninho de Escaravelhos
Nested Ghoul|Carniçal Aninhado
Nested Shambler|Trôpego Nidificado
Nesting Dovehawk|Falcopomba Aninhada
Nesting Dragon|Dragão Aninhador
Nesting Grounds|Zona de Nidificação
Nesting Wurm|Vorme Aninhado
Netcaster Spider|Aranha Lançadora de Rede
Nether Horror|Horror Ínfero
Nether Shadow|Vulto Ínfero
Nether Spirit|Espírito Ínfero
Nether Traitor|Traidor Ínfero
Netherborn Altar|Altar do Submundo
Netherborn Phalanx|Falange do Submundo
Netherese Puzzle-Ward|Proteção Enigmática Netherêsa
Nethroi, Apex of Death|Nethroi, Ápice da Morte
Netter en-Dal|Redeira en-Dal
Nettle Drone|Zangão Espinhoso
Nettle Sentinel|Sentinela da Urtica
Nettle Swine|Suíno da Urtiga
Nettlecyst|Cisto Urtigueiro
Nettletooth Djinn|Gênio de Dentes de Urtiga
Nettlevine Blight|Ensoamento com Urtigueira
Nettling Curse|Maldição Irritante
Network Disruptor|Perturbador de Redes
Network Terminal|Terminal de Rede
Neurok Commando|Comando Neuroque
Neurok Familiar|Familiar Neuroque
Neurok Hoversail|Pairador dos Neuroques
Neurok Invisimancer|Invisimante Neuroque
Neurok Prodigy|Prodígio dos Neuroques
Neurok Replica|Réplica de Neuroque
Neurok Spy|Espião Neuroque
Neurok Stealthsuit|Vestimentas Furtivas dos Neuroques
Neurok Transmuter|Neuroque Transmutador
Neutralize|Neutralizar
Neutralizing Blast|Rajada Neutralizadora
Never Happened|Jamais Aconteceu
Neverending Torment|Tormento Interminável
Nevermaker|Inexistidor
Nevermore|Nunca Mais
Neverwinter Dryad|Dríade de Nevenunca
Neverwinter Hydra|Hidra de Nevenunca
Never|Jamais
Nevinyrral's Disk|Disco de Nevinyrral
Nevinyrral, Urborg Tyrant|Nevinyrral, Tirano de Urborg
New Argive|Novo Argivo
New Benalia|Nova Benália
New Blood|Sangue Novo
New Frontiers|Novas Fronteiras
New Horizons|Novos Horizontes
New Perspectives|Novas Perspectivas
New Prahv Guildmage|Mago de Guilda de Nova Prahv
Nexos|Nexos
Nexus Wardens|Guardiões do Nexo
Nexus of Fate|Nexo do Destino
Neyali, Suns' Vanguard|Neyali, Vanguarda do Sol
Neyam Shai Murad|Neyam Shai Murad
Nezahal, Primal Tide|Nezahal, Maré Primordial
Nezumi Bladeblesser|Benze-espada Nezumi
Nezumi Bone-Reader|Osteomante Nezumi
Nezumi Cutthroat|Degolador Nezumi
Nezumi Informant|Informante Nezumi
Nezumi Prowler|Espreitador Nezumi
Nezumi Ronin|Ronin Nezumi
Nezumi Shadow-Watcher|Nezumi Vigia das Sombras
Niambi, Esteemed Speaker|Niambi, Estimada Oradora
Niambi, Faithful Healer|Niambi, Curandeira Fiel
Niblis of Dusk|Niblis do Crepúsculo
Niblis of Frost|Niblis da Geada
Niblis of the Breath|Niblis da Respiração
Niblis of the Mist|Niblis da Névoa
Niblis of the Urn|Niblis da Ânfora
Nicol Bolas, Dragon-God|Nicol Bolas, Dragão-deus
Nicol Bolas, God-Pharaoh|Nicol Bolas, Faraó-Deus
Nicol Bolas, Planeswalker|Nicol Bolas, Planeswalker
Nicol Bolas, the Arisen|Nicol Bolas, o Erguido
Nicol Bolas, the Deceiver|Nicol Bolas, o Enganador
Nicol Bolas, the Ravager|Nicol Bolas, o Devastador
Nicol Bolas|Nicol Bolas
Night Clubber|Bordoeira Noturna
Night Dealings|Negociações Noturnas
Night Incarnate|Noite Incarnada
Night Market Aeronaut|Aeronauta do Mercado Noturno
Night Market Guard|Guarda do Mercado Noturno
Night Market Lookout|Vigia do Mercado Noturno
Night Revelers|Farristas da Noite
Night Scythe|Foice Noturna
Night Terrors|Terror Noturno
Night of Souls' Betrayal|Noite da Traição das Almas
Night's Whisper|Sussurro da Noite
Nightbird's Clutches|Garras do Pássaro Noturno
Nightcreep|Rastejamento Noturno
Nightfall Predator|Predador do Anoitecer
Nightfire Giant|Gigante do Fogo Noturno
Nightguard Patrol|Patrulha Noturna
Nighthawk Scavenger|Necrófago Falcão da Noite
Nighthaze|Bruma da Noite
Nighthowler|Uivador Noturno
Nightmare Incursion|Incursão em Pesadelo
Nightmare Lash|Chicote de Crina de Pesadelo
Nightmare Shepherd|Pastor de Pesadelos
Nightmare Unmaking|Dissolução Pesadelar
Nightmare Void|Vácuo de Pesadelo
Nightmare's Thirst|Sede do Pesadelo
Nightmare|Pesadelo
Nightmarish End|Fim Aterrador
Nightpack Ambusher|Emboscador da Matilha Noturna
Nightscape Apprentice|Aprendiz de Nightscape
Nightscape Battlemage|Mago de Combate de Nightscape
Nightscape Familiar|Familiar de Nightscape
Nightscape Master|Mestre de Nightscape
Nightshade Assassin|Assassino de Beladona
Nightshade Harvester|Coletora de Beladona
Nightshade Peddler|Vendedor de Beladona
Nightshade Schemers|Maquinadores da Penumbra
Nightshade Seer|Vidente da Beladona
Nightshade Stinger|Aguilhoador da Penumbra
Nightsky Mimic|Mímico da Noite
Nightsnare|Armadilha Noturna
Nightsoil Kami|Kami do Solo Noturno
Nightsquad Commando|Comando do Esquadrão Noturno
Nightstalker Engine|
Nightveil Predator|Predador do Véu da Noite
Nightveil Specter|Espectro do Véu da Noite
Nightveil Sprite|Sílfide do Véu da Noite
Nightwind Glider|Planador do Vento Noturno
Nightwing Shade|Sombra da Asa Noturna
Night|Noite
Nihil Spellbomb|Magibomba Niilista
Nihilistic Glee|Exultação Niilista
Nihilith|Annihilo
Nihiloor|Nihiloor
Nikara, Lair Scavenger|Nikara, Necrófaga dos Covis
Nikko-Onna|Nikko-Onna
Niko Aris|Niko Aris
Niko Defies Destiny|Niko Desafia o Destino
Nikya of the Old Ways|Nikya dos Costumes Antigos
Nils, Discipline Enforcer|Nils, Impositor da Disciplina
Nim Abomination|Abominação Nim
Nim Deathmantle|Manto de Morte dos Nim
Nim Devourer|Nim Devorador
Nim Grotesque|Nim Grotesco
Nim Lasher|Nim Açoitador
Nim Replica|Réplica de Nim
Nim Shambler|Nim Trôpego
Nim Shrieker|Nim Guinchador
Nimana Sell-Sword|Mercenário de Nimana
Nimana Skitter-Sneak|Gatuno da Lacraia de Nimana
Nimana Skydancer|Dançarina Celeste de Nimana
Nimble Birdsticker|Espeta-passarinho Ágil
Nimble Hobbit|Hobbit Ágil
Nimble Innovator|Inovadora Ágil
Nimble Larcenist|Ladrão Lesto
Nimble Mongoose|Mangusto Ágil
Nimble Obstructionist|Obstrucionista Ágil
Nimble Trapfinder|Desarmadilheiro Ágil
Nimble-Blade Khenra|Khenra da Lâmina Veloz
Nimbleclaw Adept|Adepto Garraveloz
Nimblewright Schematic|Diagrama de Autômato Leve
Nimbus Maze|Labirinto Nimboso
Nimbus Naiad|Náiade do Nimbo
Nimbus Swimmer|Nadador do Nimbo
Nimbus Wings|Asas Nefeloides
Nimbus of the Isles|Nimbo das Ilhas
Nimraiser Paladin|Paladino Criador de Nim
Nimrodel Watcher|Vigia do Nimrodel
Nin, the Pain Artist|Nin, Artista da Dor
Nine Lives|Nove Vidas
Nine-Fingers Keene|Astele Keene
Nine-Ringed Bo|Bo dos Nove Anéis
Ninja of the Deep Hours|Ninja das Horas Tardias
Ninja of the New Moon|Ninja da Lua Nova
Ninja's Kunai|Kunai do Ninja
Ninth Bridge Patrol|Patrulheiro da Nona Ponte
Nip Gwyllion|Gwyllion da Mordidela
Nirkana Assassin|Assassino Nirkana
Nirkana Cutthroat|Degolador Nirkana
Nirkana Revenant|Espectro Nirkana
Nishoba Brawler|Lutador Nishoba
Nissa Revane|Nissa Revane
Nissa of Shadowed Boughs|Nissa dos Ramos Umbrosos
Nissa's Chosen|Escolhido de Nissa
Nissa's Defeat|Derrota de Nissa
Nissa's Encouragement|Encorajamento de Nissa
Nissa's Expedition|Expedição de Nissa
Nissa's Judgment|Julgamento de Nissa
Nissa's Pilgrimage|Peregrinação de Nissa
Nissa's Renewal|Renovação de Nissa
Nissa's Revelation|Revelação de Nissa
Nissa's Triumph|Triunfo de Nissa
Nissa's Zendikon|Zendikon de Nissa
Nissa, Ascended Animist|Nissa, Animista Ascensa
Nissa, Genesis Mage|Nissa, Maga da Gênese
Nissa, Nature's Artisan|Nissa, Artesã da Natureza
Nissa, Resurgent Animist|Nissa, Animista Ressurgida
Nissa, Sage Animist|Nissa, Sábia Animista
Nissa, Steward of Elements|Nissa, Guardiã dos Elementos
Nissa, Vastwood Seer|Nissa, Vidente de Matavasta
Nissa, Vital Force|Nissa, Força Vital
Nissa, Voice of Zendikar|Nissa, Voz de Zendikar
Nissa, Who Shakes the World|Nissa, Abaladora do Mundo
Nissa, Worldwaker|Nissa, Despertadora do Mundo
Niv-Mizzet Reborn|Niv-Mizzet Renascido
Niv-Mizzet, Dracogenius|Niv-Mizzet, Dracogênio
Niv-Mizzet, Parun|Niv-Mizzet, Parun
Niv-Mizzet, Supreme|Niv-Mizzet, Supremo
Niv-Mizzet, the Firemind|Niv-Mizzet, o Mente de Fogo
Niveous Wisps|Fogo-Fátuo Nevado
Nivix Barrier|Barreira de Nivix
Nivix Cyclops|
Nivix Guildmage|Mago de Guilda de Nivix
Nivix, Aerie of the Firemind|Nivix, Ninho do Mente de Fogo
Nivmagus Elemental|Elemental Nivmagus
Nix|Nix
No Escape|Sem Escapatória
No Mercy|Sem Piedade
No One Left Behind|Ninguém Fica para Trás
No Quarter|Sem Quartel
No Rest for the Wicked|Sem Descanso para o Mal
No Way Out|Sem Escapatória
No-Dachi|No-Dachi
Nobilis of War|Nobilis da Guerra
Noble Benefactor|Nobre Benfeitor
Noble Elephant|Elefante Majestoso
Noble Heritage|Ascendência Nobre
Noble Hierarch|Hierarca Nobre
Noble Panther|Pantera Nobre
Noble Purpose|Nobre Propósito
Noble Quarry|Presa Nobre
Noble Stand|Defesa Honrada
Noble Steeds|Corcéis Majestosos
Noble Templar|Templário Nobre
Noble Vestige|Vestígio Nobre
Noble's Purse|Bolsa de Nobre
Nocturnal Raid|Assalto Noturno
Noetic Scales|Escalas Poéticas
Noggin Whack|Cabeçada
Noggle Bandit|Bandido Noggle
Noggle Bridgebreaker|Quebra-Ponte Noggle
Noggle Hedge-Mage|Mago Rural Noggle
Noggle Ransacker|Saqueador Noggle
Noise Marine|Noise Marine
Nomad Decoy|Chamariz Nômade
Nomad Mythmaker|Nômade Criador de Mitos
Nomad Outpost|Posto Avançado Nômade
Nomad Stadium|Estádio dos Nômades
Nomadic Elf|Elfo Nômade
Nomads en-Kor|Nômades en-Kor
Nomads' Assembly|Assembleia dos Nômades
Noose Constrictor|Constritor da Forca
Noosegraf Mob|Turba do Cemitério do Cadafalso
Norika Yamazaki, the Poet|Norika Yamazaki, a Poetisa
Norin the Wary|Norin, o Cauteloso
Norn's Annex|Anexo de Norn
Norn's Choirmaster|Mestre do Coro de Norn
Norn's Decree|Decreto de Norn
Norn's Inquisitor|Inquisidor de Norn
Norn's Seedcore|Germinúcleo de Norn
Norn's Wellspring|Fonte de Norn
Norritt|Norritt
Northern Paladin|Paladino do Norte
Norwood Archers|
Norwood Priestess|
Norwood Ranger|Patrulheiro de Norwood
Norwood Riders|
Norwood Warrior|
Nostalgic Dreams|Sonhos Nostálgicos
Nosy Goblin|Goblin Intrometido
Not Forgotten|Não Esquecido
Not of This World|Não Deste Mundo
Nothic|Nótico
Notion Rain|Chuva de Noções
Notion Thief|Ladrão de Noção
Notorious Assassin|Assassino Famoso
Notorious Throng|Multidão Infame
Nourishing Shoal|Cardume Nutritivo
Nourish|Nutrir
Nova Chaser|Caçador de Nova
Nova Cleric|Clérigo da Nova
Novablast Wurm|Vorme da Explosão de Nova
Novice Dissector|Dissecador Novato
Novice Knight|Cavaleiro Novato
Novice Occultist|Ocultista Novata
Novijen Sages|Sábios de Novijen
Novijen, Heart of Progress|Novijen, Coração do Progresso
Now for Wrath, Now for Ruin!|Hora da Ira, Hora da Ruína!
Noxious Assault|Assalto Nóxio
Noxious Dragon|Dragão Nóxio
Noxious Field|Campo Mefítico
Noxious Gearhulk|Mecanotitã Pernicioso
Noxious Ghoul|Carniçal Mefítico
Noxious Grasp|Garras Nóxias
Noxious Groodion|Groodion Nocivo
Noxious Hatchling|Cria Perniciosa
Noxious Revival|Renascimento Pernicioso
Noxious Vapors|Vapores Venenosos
Noyan Dar, Roil Shaper|Noyan Dar, Moldador do Turbilhão
Nucklavee|Nucklavee
Nuisance Engine|Máquina de Aborrecimento
Null Brooch|Broche da Anulacão
Null Caller|Invocador de Nulos
Null Chamber|Câmara da Neutralização
Null Champion|Campeão Nulo
Null Profusion|Profusão Nula
Null Rod|Bastão da Invalidação
Nullhide Ferox|Ferox Imunocouro
Nullify|Nulificar
Nullmage Advocate|Advogado dos Magi-Anuladores
Nullmage Shepherd|Pastoras Magi-Anuladoras
Nullpriest of Oblivion|Sacerdotisa de Nulos do Oblívio
Nullstone Gargoyle|Gárgula de Pedra Anuladora
Nulltread Gargantuan|Gargantua da Pegada Invisível
Numa, Joraga Chieftain|Numa, Líder Joraga
Numai Outcast|Numai Exilado
Numbing Dose|Dose Entorpecente
Numot, the Devastator|Numot, o Devastador
Nurgle's Conscription|Conscrição de Nurgle
Nurgle's Rot|Podridão de Nurgle
Nurturer Initiate|Iniciado Nutridor
Nurturing Licid|Lícide Nutritício
Nurturing Peatland|Turfeira Nutriz
Nurturing Presence|Presença Acalentadora
Nut Collector|Catador de Nozes
Nykthos Paragon|Paradigma de Nyktos
Nykthos, Shrine to Nyx|Nyktos, Santuário de Nyx
Nylea's Colossus|Colosso de Nilea
Nylea's Disciple|Discípulo de Niléia
Nylea's Emissary|Emissário de Niléia
Nylea's Forerunner|Pioneiro de Nileia
Nylea's Huntmaster|Mestre de Caça de Nileia
Nylea's Intervention|Intervenção de Nileia
Nylea's Presence|Presença de Niléia
Nylea, God of the Hunt|Niléia, Deusa da Caça
Nylea, Keen-Eyed|Nileia, Mira Certeira
Nymris, Oona's Trickster|Nymris, Trapaceiro de Oona
Nyx Herald|Arauto de Nyx
Nyx Infusion|Infusão de Nyx
Nyx Lotus|Lótus-de-Nyx
Nyx Weaver|Tecedora de Nyx
Nyx-Fleece Ram|Carneiro Velocino-de-Nyx
Nyxathid|Nixatide
Nyxbloom Ancient|Ancestral Flor-de-Nyx
Nyxborn Brute|Bruto Nyxnato
Nyxborn Colossus|Colosso Nyxnato
Nyxborn Courser|Centaura Nyxnata
Nyxborn Eidolon|Eidolon Nyxnato
Nyxborn Marauder|Saqueadora Nyxnata
Nyxborn Rollicker|Desordeiro Nyxnato
Nyxborn Seaguard|Guardamar Nyxnata
Nyxborn Shieldmate|Escudeiro Nyxnato
Nyxborn Triton|Talassido Nyxnato
Nyxborn Wolf|Lobo Nyxnato
Nyx|Nyx
O-Kagachi, Vengeful Kami|O-Kagashi, Kami Vingativo
O-Naginata|O-Naginata
Oak Street Innkeeper|Albergueiro da Rua do Carvalho
Oaken Boon|Dádiva do Carvalho
Oaken Brawler|Rufião Carvalheiro
Oakenform|Carvalhoforme
Oakgnarl Warrior|Guerreiro Carvalhonó
Oakhame Adversary|Adversário de Carvalhândia
Oakhame Ranger|Patrulheira de Carvalhândia
Oakheart Dryads|Dríades Coração-de-carvalho
Oashra Cultivator|Cultivadora de Oashra
Oasis Ritualist|Ritualista do Oásis
Oasis|Oásis
Oath of Ajani|Juramento de Ajani
Oath of Chandra|Juramento de Chandra
Oath of Druids|Juramento dos Druidas
Oath of Eorl|Juramento de Eorl
Oath of Ghouls|Juramento dos Carnicais
Oath of Gideon|Juramento de Gideon
Oath of Jace|Juramento de Jace
Oath of Kaya|Juramento de Kaya
Oath of Lieges|Juramento de Regentes
Oath of Liliana|Juramento de Liliana
Oath of Lim-Dûl|Juramento de Lim-Dûl
Oath of Mages|Juramento dos Magos
Oath of Nissa|Juramento de Nissa
Oath of Scholars|Juramento dos Escolásticos
Oath of Teferi|Juramento de Teferi
Oath of the Ancient Wood|Juramento do Tronco Sagrado
Oath of the Grey Host|Juramento da Hoste Cinzenta
Oathkeeper, Takeno's Daisho|Detentora do Juramento, Daisho de Takeno
Oathsworn Giant|Soldado Jurado
Oathsworn Knight|Cavaleiro Jurado
Oathsworn Vampire|Vampiro Jurado
Ob Nixilis Reignited|Ob Nixilis Reaceso
Ob Nixilis's Cruelty|Crueldade de Ob Nixilis
Ob Nixilis, Captive Kingpin|Ob Nixilis, Chefão Cativo
Ob Nixilis, Unshackled|Ob Nixilis, Libertado
Ob Nixilis, the Adversary|Ob Nixilis, o Adversário
Ob Nixilis, the Fallen|Ob Nixilis, o Caído
Ob Nixilis, the Hate-Twisted|Ob Nixilis, Transtornado Pelo Ódio
Obeka, Brute Chronologist|Obeka, Cronologista Bruta
Obelisk Spider|Aranha do Obelisco
Obelisk of Alara|Obelisco de Alara
Obelisk of Bant|Obelisco de Bant
Obelisk of Esper|Obelisco de Esper
Obelisk of Grixis|Obelisco de Grixis
Obelisk of Jund|Obelisco de Jund
Obelisk of Naya|Obelisco de Naya
Obelisk of Undoing|Obelisco do Desfazer
Obelisk of Urd|Obelisco de Urd
Oblation|Oblação
Obliterate|Obliterar
Obliterating Bolt|Raio Obliterante
Oblivion Crown|Coroa de Oblívio
Oblivion Ring|Anel do Esquecimento
Oblivion Sower|Semeador do Oblívio
Oblivion Stone|Pedra do Oblívio
Oblivion Strike|Golpe do Esquecimento
Oblivion's Hunger|Fome do Oblívio
Oblivion|Oblívio
Oboro Breezecaller|Convocadora da Brisa de Oboro
Oboro Envoy|Enviado de Oboro
